,submit_time,operation,machine_id,cpu_capacity,memory_capacity,disk_capacity,gpu_capacity,gpu_memory_capacity,gpu_type
0,-1,init_m,7399a758eb02bae1a3621236,96,512,1,0,0,CPU
1,-1,init_m,75c536d5ba60528b3ef3ae40,96,512,1,0,0,CPU
2,-1,init_m,6265a99de1a50cc6f1b03602,96,512,1,0,0,CPU
3,-1,init_m,cb5c703eae0a123ad25e480d,96,512,1,0,0,CPU
4,-1,init_m,fc6921f2af20c5337c43d4a9,96,512,1,0,0,CPU
5,-1,init_m,49caad91753d3c004cde7b66,96,512,1,0,0,CPU
6,-1,init_m,688166685a9e980d59044b7d,96,512,1,0,0,CPU
7,-1,init_m,96ad36bcac3d8d1979ba73a2,96,512,1,0,0,CPU
8,-1,init_m,5518904576855e07267e54fa,96,512,1,0,0,CPU
9,-1,init_m,294dc19e3369eede733d3c6c,96,512,1,0,0,CPU
10,-1,init_m,65cffcfba06944fac3c2897a,96,512,1,0,0,CPU
11,-1,init_m,735e8e92dde6e6c420ebf8ac,96,512,1,0,0,CPU
12,-1,init_m,fc6f20c0608b3c7ac4afb679,96,512,1,0,0,CPU
13,-1,init_m,74998327eb57fa36870ac6ef,96,512,1,0,0,CPU
14,-1,init_m,0db76426c824568256d0d025,96,512,1,0,0,CPU
15,-1,init_m,f9c869cc53d80e121b0190fc,96,512,1,0,0,CPU
16,-1,init_m,35832815d003fe303d5b83b6,96,512,1,0,0,CPU
17,-1,init_m,91b53b0ca6a25e3d88e7e786,96,512,1,0,0,CPU
18,-1,init_m,86430f61f97cedd828496379,96,512,1,0,0,CPU
19,-1,init_m,1c6afd5c227e89b8a29589f4,96,512,1,0,0,CPU
20,-1,init_m,5c24fca43661d88457d79cc1,96,512,1,0,0,CPU
21,-1,init_m,f6b308ec28f950a8026560ce,96,512,1,0,0,CPU
22,-1,init_m,cac402ff0ba3ae7e91ef9561,96,512,1,0,0,CPU
23,-1,init_m,b4aeb448f452405c786dd01e,96,512,1,0,0,CPU
24,-1,init_m,7077ec572d50395cafcbcb7d,96,512,1,0,0,CPU
25,-1,init_m,2b255fc5f68083dcdd4f2847,96,512,1,0,0,CPU
26,-1,init_m,298bddccf95ccd3cb740fa5f,96,512,1,0,0,CPU
27,-1,init_m,dd129e189734d7979f6c3e0e,96,512,1,0,0,CPU
28,-1,init_m,170448f9cfcbb98d8323e7cc,96,512,1,0,0,CPU
29,-1,init_m,9b2bb693317edd3450c6bd42,96,512,1,0,0,CPU
30,-1,init_m,d50566938115191d5dfd1093,96,512,1,0,0,CPU
31,-1,init_m,88ca9570a95b21a8fa463dde,96,512,1,0,0,CPU
32,-1,init_m,047e85ea04d65e8eb82ec068,96,512,1,0,0,CPU
33,-1,init_m,e10195f8ca0738353478d244,96,512,1,0,0,CPU
34,-1,init_m,fb0e3bc52b4794e0ecccbc7b,96,512,1,0,0,CPU
35,-1,init_m,f740501a8e34015232805b2c,96,512,1,0,0,CPU
36,-1,init_m,fadc63b4940e45d1b5dfe839,96,512,1,0,0,CPU
37,-1,init_m,a3ce4e4f161046d1460cfd5f,96,512,1,0,0,CPU
38,-1,init_m,5de92123fca0b76e9fdc495e,96,512,1,0,0,CPU
39,-1,init_m,71661531af0a408ba13e7e08,96,512,1,0,0,CPU
40,-1,init_m,f2a940ce9c4047efc5ef600d,96,512,1,0,0,CPU
41,-1,init_m,35a4a81eecf3bd4224d847ea,96,512,1,0,0,CPU
42,-1,init_m,52ff73f01839f415339b01d7,96,512,1,0,0,CPU
43,-1,init_m,8b62b0ea0338281ff7ac8da6,96,512,1,0,0,CPU
44,-1,init_m,b54a4b236c954ac594157fc3,96,512,1,0,0,CPU
45,-1,init_m,6cbe357c4ef8fd9eff1b67db,96,512,1,0,0,CPU
46,-1,init_m,b6f815bd233d45f2ff161b99,96,512,1,0,0,CPU
47,-1,init_m,14fbc866996ec0f1b9e03ed4,96,512,1,0,0,CPU
48,-1,init_m,c956315ff44c7d64653dcdb4,96,512,1,0,0,CPU
49,-1,init_m,e3718b943bd7cdbff26cbb30,96,512,1,0,0,CPU
50,-1,init_m,7ffbb9da37e3dfa0accbd908,96,512,1,0,0,CPU
51,-1,init_m,8a6807389854d8de07b8f8ff,96,512,1,0,0,CPU
52,-1,init_m,003eb1120dc12d608325ba73,96,512,1,0,0,CPU
53,-1,init_m,8d6a5bb760f86d7abc670b72,96,512,1,0,0,CPU
54,-1,init_m,12be01808689bf618d8d450e,96,512,1,0,0,CPU
55,-1,init_m,a8040c2965174c9a08e743b1,96,512,1,0,0,CPU
56,-1,init_m,84326973cbe2db8a80e66d31,96,512,1,0,0,CPU
57,-1,init_m,f5aa69168029264ce88dc49e,96,512,1,0,0,CPU
58,-1,init_m,eaec157b545f66567159d1f1,96,512,1,0,0,CPU
59,-1,init_m,a3c36d9099afdeae29c56811,96,512,1,0,0,CPU
60,-1,init_m,9a5fa63a036ca9b95f39b582,96,512,1,0,0,CPU
61,-1,init_m,4d151c5996459044f7479798,96,512,1,0,0,CPU
62,-1,init_m,9318348505c9f5b87a205cd2,96,512,1,0,0,CPU
63,-1,init_m,96bc93ac230ddcc6d9067521,96,512,1,0,0,CPU
64,-1,init_m,24923fba683501bd6058766b,96,512,1,0,0,CPU
65,-1,init_m,dbe680830d200c9c2ab4d241,96,512,1,0,0,CPU
66,-1,init_m,52cf4e212f167295598890c1,96,512,1,0,0,CPU
67,-1,init_m,7b4b7d2d3d25496d86d4dfb8,96,512,1,0,0,CPU
68,-1,init_m,968b6778b19290ead90111dd,96,512,1,0,0,CPU
69,-1,init_m,6294340e2ba5bb56ac52cd2d,96,512,1,0,0,CPU
70,-1,init_m,ce65bbdf153c81391ad7c77b,96,512,1,0,0,CPU
71,-1,init_m,14b8c4c7fd725dc62241216a,96,512,1,0,0,CPU
72,-1,init_m,38b4133f7bb4c32135c044d7,96,512,1,0,0,CPU
73,-1,init_m,0915f523b0135f175663c26a,96,512,1,0,0,CPU
74,-1,init_m,ada87ca440cecbf0c4846589,96,512,1,0,0,CPU
75,-1,init_m,ea4a6ce25cf9da097d783144,96,512,1,0,0,CPU
76,-1,init_m,04b76e48f8e09cede7bf6582,96,512,1,0,0,CPU
77,-1,init_m,c9d6f1287f815509d8a2b269,96,512,1,0,0,CPU
78,-1,init_m,0f719984652d7e12df59027c,96,512,1,0,0,CPU
79,-1,init_m,ca0d455228946a17120af878,96,512,1,0,0,CPU
80,-1,init_m,784c3621cbf36930aa3cbb9d,96,512,1,0,0,CPU
81,-1,init_m,48931f4f3bf9f7409a01c511,96,512,1,0,0,CPU
82,-1,init_m,56f17ffe98e41dd0b4a45461,96,512,1,0,0,CPU
83,-1,init_m,0ada2343597a34b8ab9a3d00,96,512,1,2,1,T4
84,-1,init_m,795e3e50c66cb2a07cbfbd05,96,512,1,2,1,T4
85,-1,init_m,8b6010469bca955ebf056a33,96,512,1,2,1,T4
86,-1,init_m,e2dcc65ad791044c17e52998,96,512,1,2,1,T4
87,-1,init_m,39045412e5ae0ec60c1cc36b,96,512,1,2,1,T4
88,-1,init_m,300f408a48ebc8fd8eeba7be,96,512,1,2,1,T4
89,-1,init_m,c3f87a68cf6b9650a8a77c67,96,512,1,2,1,T4
90,-1,init_m,aea554ec08021e56e43cbedf,96,512,1,2,1,T4
91,-1,init_m,7ba29b2f06bf95163b0c7fa6,96,512,1,2,1,T4
92,-1,init_m,40df5d7392ee3c1cd401f676,96,512,1,2,1,T4
93,-1,init_m,1c18c66311776cfdf1cfe92a,96,512,1,2,1,T4
94,-1,init_m,f5c563f385499ffcf14ab4dc,96,512,1,2,1,T4
95,-1,init_m,09e35ebb0fefd48938c57e08,96,512,1,2,1,T4
96,-1,init_m,14b2923a689fbdaacd311ec5,96,512,1,2,1,T4
97,-1,init_m,0e5aaa164cea53a8c065843e,96,512,1,2,1,T4
98,-1,init_m,5f89cdafbff37ae80bc826e0,96,512,1,2,1,T4
99,-1,init_m,810283a2501db3565ba0caee,96,512,1,2,1,T4
100,-1,init_m,bd1aca1d83c79643a177a7c4,96,512,1,2,1,T4
101,-1,init_m,7f986c3db31278d78b2e5a8a,96,512,1,2,1,T4
102,-1,init_m,edf154babe804e727d6f6689,96,512,1,2,1,T4
103,-1,init_m,9cd337865ea7b41724c366c3,96,512,1,2,1,T4
